2025-11-27T05:22:49.000 application=api request_id=GHvFn8KD1bRfPhQAwqnH [info] Sent 400 in 101µs on GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php?
2025-11-27T09:29:10.682 application=api request_id=GHvTEWN4Acl8OWUA3KzF [info] Sent 400 in 90µs on GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php?
2025-11-28T00:14:20.431 application=api request_id=GHwDXvck6a-ntWkBEprm [info] Sent 400 in 90µs on GET /api/aws/credentials.json?
2025-11-29T01:16:18.132 application=api request_id=GHxVVSC11Z_LXFIBd8ul [info] Sent 400 in 108µs on GET /api/.env?
2025-11-29T01:54:32.081 application=api request_id=GHxXazq1iI9sEskBUz4I [info] Sent 400 in 65µs on GET /api/.env?
2025-11-29T01:54:40.833 application=api request_id=GHxXbURp3JLMMaIBd_JD [info] Sent 400 in 45µs on GET /api/shared/config/config.env?
2025-11-29T01:54:40.971 application=api request_id=GHxXbUyetfRLAEsBeqcF [info] Sent 400 in 77µs on GET /api/shared/config.env?
2025-11-29T01:54:41.707 application=api request_id=GHxXbXh9yNYKb4ABeqeF [info] Sent 400 in 66µs on GET /api/shared/config/.env?
2025-11-29T01:54:41.853 application=api request_id=GHxXbYE1hly-9wgBUz8I [info] Sent 400 in 73µs on GET /api/shared/.env?
2025-11-29T01:54:42.028 application=api request_id=GHxXbYuekn3SPWYBeqel [info] Sent 400 in 56µs on GET /api/config.env?
2025-11-29T01:54:50.818 application=api request_id=GHxXb5eJeQ-EZ74BU0CI [info] Sent 400 in 66µs on GET /api/config.js?
2025-11-29T01:54:50.955 application=api request_id=GHxXb5-7x2BLNpQBU0Co [info] Sent 400 in 66µs on GET /api/objects/codes.php.save?
2025-11-29T01:55:10.817 application=api request_id=GHxXdD-QKUaTXIoBU0PI [info] Sent 400 in 109µs on GET /api/config/config.yml?
2025-11-29T01:55:15.117 application=api request_id=GHxXdT_lkjNlnHwBU0Ro [info] Sent 400 in 68µs on GET /api/stripe.js?
2025-11-29T01:55:15.256 application=api request_id=GHxXdUgvuQuNSxMBU0SI [info] Sent 400 in 59µs on GET /api/stripe.ts?
2025-11-29T01:55:24.403 application=api request_id=GHxXd2laS3s-TR0BU0bI [info] Sent 400 in 65µs on GET /api/webhook.js?
2025-11-29T03:56:35.898 application=api request_id=GHxeFHBCwZjuakABg1-l [info] Sent 400 in 70µs on GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php?
2025-11-29T03:58:30.405 application=api request_id=GHxeLxlfBCmfLk4Bg4dl [info] Sent 400 in 102µs on GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php?
2025-11-29T06:37:01.661 application=api request_id=GHxm1Zxpsn1dAOUBpB9B [info] Sent 400 in 91µs on GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php?
2025-11-29T07:06:30.106 application=api request_id=GHxocVwBLm5_lUABpqCB [info] Sent 400 in 67µs on GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php?
2025-11-29T17:16:21.658 application=api request_id=GHyJuP5oNSXMndEBtaWC [info] Sent 400 in 115µs on GET /api/.env?
